method,split,stress_level,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_false_disappearance_rate,mean_wrong_object_contact_rate,mean_identity_switch_rate,mean_mean_diagnostic_steps
ensemble_uncertainty_planner,combined_extreme_stress,0.00,8,3,0.83333,0.17461,0.01294,0.00000,0.07986,6.50000
ensemble_uncertainty_planner,combined_extreme_stress,0.25,8,3,0.95833,0.08167,0.15734,0.00000,0.06224,22.00000
ensemble_uncertainty_planner,combined_extreme_stress,0.50,8,3,0.45833,0.21161,0.26735,0.00000,0.08152,27.91667
ensemble_uncertainty_planner,combined_extreme_stress,0.75,8,3,0.12500,0.17186,0.63247,0.00000,0.17071,34.29167
ensemble_uncertainty_planner,combined_extreme_stress,1.00,8,3,0.25000,0.16333,0.89121,0.00000,0.25799,32.54167
ensemble_uncertainty_planner,combined_stress,0.00,8,3,1.00000,0.00000,0.00832,0.00000,0.02778,5.25000
ensemble_uncertainty_planner,combined_stress,0.25,8,3,0.91667,0.10693,0.07759,0.00000,0.06629,19.75000
ensemble_uncertainty_planner,combined_stress,0.50,8,3,0.45833,0.17186,0.33931,0.00000,0.07647,29.79167
ensemble_uncertainty_planner,combined_stress,0.75,8,3,0.12500,0.11955,0.63542,0.00000,0.19860,32.62500
ensemble_uncertainty_planner,combined_stress,1.00,8,3,0.04167,0.08167,0.87306,0.00000,0.25380,29.08333
ensemble_uncertainty_planner,false_reappearance,0.00,8,3,0.95833,0.08167,0.01159,0.00000,0.05903,5.33333
ensemble_uncertainty_planner,false_reappearance,0.25,8,3,1.00000,0.00000,0.10502,0.00000,0.05417,20.37500
ensemble_uncertainty_planner,false_reappearance,0.50,8,3,0.29167,0.19276,0.35321,0.00000,0.13234,29.29167
ensemble_uncertainty_planner,false_reappearance,0.75,8,3,0.16667,0.17461,0.66280,0.00000,0.17751,34.45833
ensemble_uncertainty_planner,false_reappearance,1.00,8,3,0.12500,0.11955,0.88584,0.08333,0.26820,31.45833
hist_gradient_occlusion_regressor,combined_extreme_stress,0.00,8,3,1.00000,0.00000,0.17777,0.00000,0.25972,0.00000
hist_gradient_occlusion_regressor,combined_extreme_stress,0.25,8,3,1.00000,0.00000,0.18613,0.00000,0.16245,0.00000
hist_gradient_occlusion_regressor,combined_extreme_stress,0.50,8,3,0.91667,0.10693,0.19944,0.00000,0.23650,0.00000
hist_gradient_occlusion_regressor,combined_extreme_stress,0.75,8,3,0.79167,0.11955,0.23378,0.00000,0.37525,0.00000
hist_gradient_occlusion_regressor,combined_extreme_stress,1.00,8,3,0.70833,0.19276,0.21117,0.00000,0.29111,0.00000
hist_gradient_occlusion_regressor,combined_stress,0.00,8,3,1.00000,0.00000,0.12658,0.00000,0.10417,0.00000
hist_gradient_occlusion_regressor,combined_stress,0.25,8,3,1.00000,0.00000,0.17498,0.00000,0.21155,0.00000
hist_gradient_occlusion_regressor,combined_stress,0.50,8,3,1.00000,0.00000,0.21756,0.00000,0.22579,0.00000
hist_gradient_occlusion_regressor,combined_stress,0.75,8,3,0.75000,0.23910,0.22940,0.00000,0.30825,0.00000
hist_gradient_occlusion_regressor,combined_stress,1.00,8,3,0.79167,0.17186,0.23660,0.00000,0.21200,0.00000
hist_gradient_occlusion_regressor,false_reappearance,0.00,8,3,1.00000,0.00000,0.17328,0.00000,0.05000,0.00000
hist_gradient_occlusion_regressor,false_reappearance,0.25,8,3,1.00000,0.00000,0.18543,0.00000,0.30327,0.00000
hist_gradient_occlusion_regressor,false_reappearance,0.50,8,3,1.00000,0.00000,0.19526,0.00000,0.17414,0.00000
hist_gradient_occlusion_regressor,false_reappearance,0.75,8,3,0.83333,0.17461,0.22963,0.00000,0.27949,0.00000
hist_gradient_occlusion_regressor,false_reappearance,1.00,8,3,0.62500,0.14803,0.20896,0.04167,0.35699,0.00000
identity_consistency_tracker,combined_extreme_stress,0.00,8,3,0.87500,0.11955,0.00000,0.00000,0.19444,0.00000
identity_consistency_tracker,combined_extreme_stress,0.25,8,3,0.66667,0.17461,0.00818,0.00000,0.51372,0.00000
identity_consistency_tracker,combined_extreme_stress,0.50,8,3,0.37500,0.22892,0.05069,0.00000,0.49204,0.00000
identity_consistency_tracker,combined_extreme_stress,0.75,8,3,0.29167,0.19276,0.10874,0.00000,0.60171,0.00000
identity_consistency_tracker,combined_extreme_stress,1.00,8,3,0.16667,0.17461,0.15313,0.00000,0.52617,0.00000
identity_consistency_tracker,combined_stress,0.00,8,3,0.79167,0.17186,0.00181,0.00000,0.23264,0.00000
identity_consistency_tracker,combined_stress,0.25,8,3,0.70833,0.22892,0.03487,0.00000,0.44410,0.00000
identity_consistency_tracker,combined_stress,0.50,8,3,0.58333,0.20475,0.04578,0.00000,0.50811,0.00000
identity_consistency_tracker,combined_stress,0.75,8,3,0.08333,0.10693,0.13446,0.00000,0.52611,0.00000
identity_consistency_tracker,combined_stress,1.00,8,3,0.20833,0.17186,0.10366,0.00000,0.61853,0.00000
identity_consistency_tracker,false_reappearance,0.00,8,3,0.79167,0.17186,0.00439,0.00000,0.20139,0.00000
identity_consistency_tracker,false_reappearance,0.25,8,3,0.66667,0.17461,0.01742,0.00000,0.36667,0.00000
identity_consistency_tracker,false_reappearance,0.50,8,3,0.41667,0.23910,0.04289,0.00000,0.50554,0.00000
identity_consistency_tracker,false_reappearance,0.75,8,3,0.04167,0.08167,0.04290,0.00000,0.55989,0.00000
identity_consistency_tracker,false_reappearance,1.00,8,3,0.12500,0.11955,0.09554,0.08333,0.61279,0.00000
learned_occlusion_regressor,combined_extreme_stress,0.00,8,3,1.00000,0.00000,0.17587,0.00000,0.40139,0.00000
learned_occlusion_regressor,combined_extreme_stress,0.25,8,3,1.00000,0.00000,0.20189,0.00000,0.48662,0.00000
learned_occlusion_regressor,combined_extreme_stress,0.50,8,3,0.91667,0.10693,0.19244,0.00000,0.59364,0.00000
learned_occlusion_regressor,combined_extreme_stress,0.75,8,3,0.75000,0.16333,0.23218,0.00000,0.47816,0.00000
learned_occlusion_regressor,combined_extreme_stress,1.00,8,3,0.54167,0.21161,0.19669,0.04167,0.57735,0.00000
learned_occlusion_regressor,combined_stress,0.00,8,3,1.00000,0.00000,0.12609,0.00000,0.43611,0.00000
learned_occlusion_regressor,combined_stress,0.25,8,3,1.00000,0.00000,0.17457,0.00000,0.48305,0.00000
learned_occlusion_regressor,combined_stress,0.50,8,3,0.91667,0.10693,0.20418,0.00000,0.60118,0.00000
learned_occlusion_regressor,combined_stress,0.75,8,3,0.66667,0.17461,0.20317,0.00000,0.56170,0.00000
