split,reference,comparison,paired_success_diff,ci95_success_diff,paired_occlusion_error_reduction,paired_false_disappearance_reduction,reference_better_seeds,seeds
combined_extreme_stress,occlusion_aware_permanence_v5,oracle_state,-0.33333,0.12347,-0.06386,-0.52089,0,8
combined_extreme_stress,occlusion_aware_permanence_v5,particle_belief_tracker,0.62500,0.13455,0.07269,-0.35956,8,8
combined_extreme_stress,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.31250,0.23457,0.04245,-0.19990,6,8
combined_extreme_stress,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.17461,0.00635,-0.29326,4,8
combined_extreme_stress,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.58333,0.17461,-0.00027,-0.05997,8,8
combined_extreme_stress,occlusion_aware_permanence_v5,visibility_gated_kalman,0.41667,0.15122,0.11760,-0.52002,8,8
combined_stress,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.70833,0.13455,0.21578,0.30127,8,8
combined_stress,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.04167,0.20241,0.00598,-0.28154,5,8
combined_stress,occlusion_aware_permanence_v5,identity_consistency_tracker,0.60416,0.17393,0.15997,-0.36356,8,8
combined_stress,occlusion_aware_permanence_v5,last_seen_memory,0.64583,0.17932,0.10080,-0.06941,8,8
combined_stress,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.04167,0.22043,0.01602,-0.30920,4,8
combined_stress,occlusion_aware_permanence_v5,no_self_mask_ablation,0.04167,0.13455,0.00712,0.14241,5,8
combined_stress,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.23910,-0.00345,0.08918,2,8
combined_stress,occlusion_aware_permanence_v5,oracle_state,-0.22917,0.13718,-0.06203,-0.50401,0,8
combined_stress,occlusion_aware_permanence_v5,particle_belief_tracker,0.56250,0.23047,0.06582,-0.42973,7,8
combined_stress,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.25000,0.19522,0.02320,-0.14218,6,8
combined_stress,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.02083,0.21772,0.00490,-0.27940,3,8
combined_stress,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.77083,0.13718,-0.02208,-0.33504,8,8
combined_stress,occlusion_aware_permanence_v5,visibility_gated_kalman,0.62500,0.16039,0.12981,-0.50160,8,8
distractor_swap,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.35417,0.13005,0.05733,-0.40705,8,8
distractor_swap,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.00000,0.00000,0.01391,-0.30495,0,8
distractor_swap,occlusion_aware_permanence_v5,identity_consistency_tracker,0.68750,0.11446,0.14671,-0.46552,8,8
distractor_swap,occlusion_aware_permanence_v5,last_seen_memory,0.54167,0.19276,0.08864,-0.11683,8,8
distractor_swap,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.00000,0.00000,0.01553,-0.31085,0,8
distractor_swap,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.00000,0.00099,0.15112,0,8
distractor_swap,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.00000,0.00387,0.08162,0,8
distractor_swap,occlusion_aware_permanence_v5,oracle_state,0.00000,0.00000,-0.03404,-0.51760,0,8
distractor_swap,occlusion_aware_permanence_v5,particle_belief_tracker,0.31250,0.13004,0.04262,-0.51760,8,8
distractor_swap,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.35417,0.09638,0.01312,-0.50236,8,8
distractor_swap,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.00000,0.00856,-0.30732,0,8
distractor_swap,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.02083,0.04083,-0.00906,-0.31042,1,8
distractor_swap,occlusion_aware_permanence_v5,visibility_gated_kalman,0.45833,0.11955,0.12034,-0.51502,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.91667,0.08731,0.08024,-0.03810,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.08333,0.10693,0.01427,-0.30715,2,8
embodiment_control_shift,occlusion_aware_permanence_v5,identity_consistency_tracker,0.70833,0.10237,0.17034,-0.47054,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,last_seen_memory,0.56250,0.10581,0.09895,-0.11168,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.10417,0.10581,0.01971,-0.32346,3,8
embodiment_control_shift,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.00000,0.00983,0.11409,0,8
embodiment_control_shift,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.02083,0.04083,0.00548,0.07192,1,8
embodiment_control_shift,occlusion_aware_permanence_v5,oracle_state,0.00000,0.00000,-0.03754,-0.52661,0,8
embodiment_control_shift,occlusion_aware_permanence_v5,particle_belief_tracker,0.52083,0.14395,0.07640,-0.49905,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.39583,0.19461,0.02973,-0.42236,7,8
embodiment_control_shift,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.00000,0.00879,-0.31242,0,8
embodiment_control_shift,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.64583,0.14395,-0.00875,-0.52218,8,8
embodiment_control_shift,occlusion_aware_permanence_v5,visibility_gated_kalman,0.60417,0.13718,0.14418,-0.52208,8,8
end_effector_occlusion,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.70833,0.14803,0.12049,-0.25278,8,8
end_effector_occlusion,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,-0.02083,0.04083,0.00386,-0.29957,0,8
end_effector_occlusion,occlusion_aware_permanence_v5,identity_consistency_tracker,0.66667,0.12347,0.17274,-0.50781,8,8
end_effector_occlusion,occlusion_aware_permanence_v5,last_seen_memory,0.60417,0.18456,0.09475,-0.10137,8,8
end_effector_occlusion,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.00000,0.06174,0.00864,-0.30191,1,8
end_effector_occlusion,occlusion_aware_permanence_v5,no_self_mask_ablation,-0.02083,0.04083,-0.00349,0.14345,0,8
end_effector_occlusion,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.06174,-0.00121,0.08633,1,8
end_effector_occlusion,occlusion_aware_permanence_v5,oracle_state,-0.02083,0.04083,-0.03574,-0.52882,0,8
end_effector_occlusion,occlusion_aware_permanence_v5,particle_belief_tracker,0.47917,0.13005,0.05358,-0.52882,8,8
end_effector_occlusion,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.39583,0.20417,0.01001,-0.41665,6,8
end_effector_occlusion,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,-0.02083,0.04083,0.00532,-0.30457,0,8
end_effector_occlusion,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.16667,0.06173,-0.01181,-0.39863,7,8
end_effector_occlusion,occlusion_aware_permanence_v5,visibility_gated_kalman,0.72917,0.16260,0.14865,-0.49918,8,8
false_reappearance,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.85417,0.09638,0.10879,-0.08928,8,8
false_reappearance,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.12500,0.08167,0.02212,-0.31862,5,8
false_reappearance,occlusion_aware_permanence_v5,identity_consistency_tracker,0.66667,0.12347,0.14866,-0.40413,8,8
false_reappearance,occlusion_aware_permanence_v5,last_seen_memory,0.85417,0.09638,0.11474,-0.10678,8,8
false_reappearance,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.20833,0.10237,0.02713,-0.31548,6,8
false_reappearance,occlusion_aware_permanence_v5,no_self_mask_ablation,0.08333,0.08730,0.00685,0.13211,3,8
false_reappearance,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.02083,0.07402,0.00169,0.08614,2,8
false_reappearance,occlusion_aware_permanence_v5,oracle_state,-0.02083,0.04083,-0.04246,-0.53013,0,8
false_reappearance,occlusion_aware_permanence_v5,particle_belief_tracker,0.70833,0.10237,0.07920,-0.52984,8,8
false_reappearance,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.31250,0.13005,0.02414,-0.35698,7,8
false_reappearance,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.10417,0.05977,0.01269,-0.30845,5,8
false_reappearance,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.81250,0.13004,-0.01154,-0.52888,8,8
false_reappearance,occlusion_aware_permanence_v5,visibility_gated_kalman,0.75000,0.17461,0.13848,-0.53013,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.89583,0.08593,0.08634,0.00021,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.04167,0.05346,0.01700,-0.30652,2,8
hidden_contact_drift,occlusion_aware_permanence_v5,identity_consistency_tracker,0.62500,0.17186,0.18749,-0.42115,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,last_seen_memory,0.58333,0.13804,0.12341,-0.11725,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.02083,0.07402,0.02306,-0.32928,2,8
hidden_contact_drift,occlusion_aware_permanence_v5,no_self_mask_ablation,0.04167,0.10237,0.01875,0.12281,2,8
hidden_contact_drift,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.10417,0.15043,0.00447,0.09911,3,8
hidden_contact_drift,occlusion_aware_permanence_v5,oracle_state,-0.02083,0.04083,-0.03785,-0.51316,0,8
hidden_contact_drift,occlusion_aware_permanence_v5,particle_belief_tracker,0.52083,0.18965,0.09115,-0.38050,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.41667,0.16333,0.04461,-0.22788,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,-0.02083,0.04083,0.01250,-0.31219,0,8
hidden_contact_drift,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.75000,0.12347,-0.00577,-0.45821,8,8
hidden_contact_drift,occlusion_aware_permanence_v5,visibility_gated_kalman,0.72917,0.13718,0.15696,-0.50785,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.83333,0.08731,0.07216,-0.13569,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,-0.02083,0.07402,0.00915,-0.31419,1,8
high_symmetry_layout,occlusion_aware_permanence_v5,identity_consistency_tracker,0.72917,0.16260,0.14728,-0.46186,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,last_seen_memory,0.77083,0.08593,0.09817,-0.11027,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,learned_occlusion_regressor,-0.02083,0.09638,0.01906,-0.31851,2,8
high_symmetry_layout,occlusion_aware_permanence_v5,no_self_mask_ablation,0.06250,0.08593,0.00570,0.13098,4,8
high_symmetry_layout,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.04167,0.10237,-0.00202,0.08136,2,8
high_symmetry_layout,occlusion_aware_permanence_v5,oracle_state,-0.06250,0.05978,-0.04403,-0.52310,0,8
high_symmetry_layout,occlusion_aware_permanence_v5,particle_belief_tracker,0.54167,0.13455,0.06874,-0.51820,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.31250,0.16836,0.02282,-0.38946,7,8
high_symmetry_layout,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,-0.00000,0.08731,0.00658,-0.30778,2,8
high_symmetry_layout,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.66667,0.10693,-0.01323,-0.51831,8,8
high_symmetry_layout,occlusion_aware_permanence_v5,visibility_gated_kalman,0.62500,0.22892,0.13093,-0.52235,7,8
long_self_occlusion,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.70833,0.10237,0.18976,-0.06295,8,8
long_self_occlusion,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.02083,0.07402,0.00934,-0.29486,2,8
long_self_occlusion,occlusion_aware_permanence_v5,identity_consistency_tracker,0.87500,0.08167,0.19762,-0.48310,8,8
long_self_occlusion,occlusion_aware_permanence_v5,last_seen_memory,0.60417,0.15043,0.10300,-0.08382,8,8
long_self_occlusion,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.04167,0.08167,0.00909,-0.29616,1,8
long_self_occlusion,occlusion_aware_permanence_v5,no_self_mask_ablation,-0.02083,0.04083,0.00196,0.13946,0,8
long_self_occlusion,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.02083,0.07402,0.00024,0.08434,2,8
long_self_occlusion,occlusion_aware_permanence_v5,oracle_state,-0.02083,0.04083,-0.03749,-0.53800,0,8
long_self_occlusion,occlusion_aware_permanence_v5,particle_belief_tracker,0.70833,0.11955,0.06445,-0.52396,8,8
long_self_occlusion,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.10417,0.05977,0.00500,-0.22327,5,8
long_self_occlusion,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.04167,0.08167,0.00915,-0.29991,3,8
long_self_occlusion,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.12500,0.11955,-0.01290,-0.40219,5,8
long_self_occlusion,occlusion_aware_permanence_v5,visibility_gated_kalman,0.87500,0.08167,0.16712,-0.44288,8,8
near_identical_distractors,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.43750,0.17393,0.07945,-0.26018,8,8
near_identical_distractors,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.00000,0.06174,0.01376,-0.30161,1,8
near_identical_distractors,occlusion_aware_permanence_v5,identity_consistency_tracker,0.79166,0.14803,0.14639,-0.43180,8,8
near_identical_distractors,occlusion_aware_permanence_v5,last_seen_memory,0.66667,0.16333,0.09399,-0.10912,8,8
near_identical_distractors,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.08333,0.06174,0.01957,-0.30275,4,8
near_identical_distractors,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.06174,0.00243,0.15413,1,8
near_identical_distractors,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,-0.02083,0.04083,0.00092,0.09063,0,8
near_identical_distractors,occlusion_aware_permanence_v5,oracle_state,-0.02083,0.04083,-0.03837,-0.51048,0,8
near_identical_distractors,occlusion_aware_permanence_v5,particle_belief_tracker,0.33333,0.08731,0.04701,-0.51048,8,8
near_identical_distractors,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.43750,0.13718,0.01699,-0.44088,8,8
near_identical_distractors,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.06174,0.00950,-0.29750,1,8
near_identical_distractors,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.25000,0.10693,-0.01512,-0.48887,7,8
near_identical_distractors,occlusion_aware_permanence_v5,visibility_gated_kalman,0.58333,0.17461,0.12796,-0.50875,8,8
nominal,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.08333,0.06174,0.08533,-0.38833,4,8
nominal,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.00000,0.00000,0.00073,-0.24257,0,8
nominal,occlusion_aware_permanence_v5,identity_consistency_tracker,0.10417,0.08593,0.07378,-0.39096,4,8
nominal,occlusion_aware_permanence_v5,last_seen_memory,0.10417,0.05978,0.02425,0.07117,5,8
nominal,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.00000,0.00000,0.00067,-0.26359,0,8
nominal,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.00000,-0.00382,0.24913,0,8
nominal,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.00000,0.00252,0.06949,0,8
nominal,occlusion_aware_permanence_v5,oracle_state,0.00000,0.00000,-0.01917,-0.39425,0,8
nominal,occlusion_aware_permanence_v5,particle_belief_tracker,0.06250,0.05978,0.00131,-0.39425,3,8
nominal,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.00000,0.00000,0.00404,-0.39425,0,8
nominal,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.00000,0.00289,-0.27088,0,8
nominal,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.00000,0.00000,-0.00773,-0.39425,0,8
nominal,occlusion_aware_permanence_v5,visibility_gated_kalman,0.20833,0.05346,0.06447,-0.30415,8,8
object_displacement,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.50000,0.21385,0.04492,-0.27264,7,8
object_displacement,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.04167,0.05346,0.01120,-0.31517,2,8
object_displacement,occlusion_aware_permanence_v5,identity_consistency_tracker,0.62500,0.14803,0.19388,-0.50401,8,8
object_displacement,occlusion_aware_permanence_v5,last_seen_memory,0.47917,0.19945,0.09827,-0.14422,7,8
object_displacement,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.02083,0.04083,0.01966,-0.33628,1,8
object_displacement,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.00000,0.01009,0.10725,0,8
object_displacement,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.00000,0.00503,0.08717,0,8
object_displacement,occlusion_aware_permanence_v5,oracle_state,0.00000,0.00000,-0.03441,-0.51988,0,8
object_displacement,occlusion_aware_permanence_v5,particle_belief_tracker,0.41667,0.23099,0.06435,-0.47478,7,8
object_displacement,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.41667,0.08731,0.03578,-0.41718,8,8
object_displacement,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.02083,0.04083,0.01030,-0.30723,1,8
object_displacement,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.37500,0.10237,-0.00959,-0.51988,8,8
object_displacement,occlusion_aware_permanence_v5,visibility_gated_kalman,0.47917,0.11446,0.14781,-0.49928,8,8
short_self_occlusion,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.35417,0.07402,0.10408,-0.41687,8,8
short_self_occlusion,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.00000,0.00000,0.00487,-0.30521,0,8
short_self_occlusion,occlusion_aware_permanence_v5,identity_consistency_tracker,0.50000,0.17461,0.14268,-0.50951,8,8
short_self_occlusion,occlusion_aware_permanence_v5,last_seen_memory,0.25000,0.12347,0.05094,-0.09894,6,8
short_self_occlusion,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.00000,0.00000,0.00562,-0.30286,0,8
short_self_occlusion,occlusion_aware_permanence_v5,no_self_mask_ablation,0.00000,0.00000,-0.00473,0.15069,0,8
short_self_occlusion,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.00000,0.00000,0.00059,0.09270,0,8
short_self_occlusion,occlusion_aware_permanence_v5,oracle_state,0.00000,0.00000,-0.03062,-0.51777,0,8
short_self_occlusion,occlusion_aware_permanence_v5,particle_belief_tracker,0.10417,0.08593,0.01728,-0.51777,4,8
short_self_occlusion,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.39583,0.13718,0.00933,-0.51777,8,8
short_self_occlusion,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.00000,0.00000,0.00308,-0.30473,0,8
short_self_occlusion,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.00000,0.00000,-0.01125,-0.51748,0,8
short_self_occlusion,occlusion_aware_permanence_v5,visibility_gated_kalman,0.41667,0.10693,0.11545,-0.46081,8,8
stale_memory_trap,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.79166,0.13455,0.18375,0.25740,8,8
stale_memory_trap,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.10417,0.13718,0.01459,-0.29814,4,8
stale_memory_trap,occlusion_aware_permanence_v5,identity_consistency_tracker,0.68750,0.25779,0.18686,-0.45681,7,8
stale_memory_trap,occlusion_aware_permanence_v5,last_seen_memory,0.68750,0.11446,0.12169,-0.08893,8,8
stale_memory_trap,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.16666,0.13804,0.02686,-0.32543,5,8
stale_memory_trap,occlusion_aware_permanence_v5,no_self_mask_ablation,0.08333,0.15122,0.02272,0.11848,4,8
stale_memory_trap,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.02083,0.13005,-0.00190,0.08438,3,8
stale_memory_trap,occlusion_aware_permanence_v5,oracle_state,-0.08333,0.06174,-0.04537,-0.53375,0,8
stale_memory_trap,occlusion_aware_permanence_v5,particle_belief_tracker,0.64583,0.17932,0.09595,-0.38195,8,8
stale_memory_trap,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.41667,0.08731,0.03694,-0.32012,8,8
stale_memory_trap,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.08333,0.10693,0.01051,-0.29830,4,8
stale_memory_trap,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.89583,0.08593,-0.01295,-0.36413,8,8
stale_memory_trap,occlusion_aware_permanence_v5,visibility_gated_kalman,0.72916,0.08593,0.16382,-0.53034,8,8
