split,reference,comparison,paired_success_diff,ci95_success_diff,paired_occlusion_error_reduction,paired_false_disappearance_reduction,reference_better_seeds,seeds
camera_dropout_burst,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.87500,0.10238,0.09604,-0.09596,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,0.04167,0.08167,0.02398,-0.32957,3,8
camera_dropout_burst,occlusion_aware_permanence_v5,identity_consistency_tracker,0.64583,0.15663,0.19502,-0.48244,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,last_seen_memory,0.62500,0.13455,0.14030,-0.14621,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,learned_occlusion_regressor,0.27083,0.12250,0.03667,-0.32303,7,8
camera_dropout_burst,occlusion_aware_permanence_v5,no_self_mask_ablation,0.06250,0.12250,0.01583,0.10376,4,8
camera_dropout_burst,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,0.08333,0.08731,0.01127,0.07605,5,8
camera_dropout_burst,occlusion_aware_permanence_v5,oracle_state,-0.04167,0.05346,-0.03931,-0.52834,0,8
camera_dropout_burst,occlusion_aware_permanence_v5,particle_belief_tracker,0.60417,0.15043,0.08744,-0.50007,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,pomdp_style_belief_planner,0.35417,0.13005,0.03147,-0.35793,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,random_forest_occlusion_regressor,0.06250,0.10581,0.01448,-0.32413,5,8
camera_dropout_burst,occlusion_aware_permanence_v5,risk_averse_particle_planner,0.56250,0.17393,-0.00577,-0.52407,8,8
camera_dropout_burst,occlusion_aware_permanence_v5,visibility_gated_kalman,0.60417,0.16260,0.17423,-0.52158,8,8
combined_extreme_stress,occlusion_aware_permanence_v5,ensemble_uncertainty_planner,0.56250,0.16260,0.28925,0.34106,8,8
combined_extreme_stress,occlusion_aware_permanence_v5,hist_gradient_occlusion_regressor,-0.02083,0.24256,0.01495,-0.29795,3,8
combined_extreme_stress,occlusion_aware_permanence_v5,identity_consistency_tracker,0.50000,0.23099,0.14786,-0.30918,7,8
combined_extreme_stress,occlusion_aware_permanence_v5,last_seen_memory,0.52083,0.19944,0.10180,-0.05439,7,8
combined_extreme_stress,occlusion_aware_permanence_v5,learned_occlusion_regressor,-0.04167,0.22043,0.02202,-0.29400,3,8
combined_extreme_stress,occlusion_aware_permanence_v5,no_self_mask_ablation,0.08333,0.16333,0.02169,0.11195,3,8
combined_extreme_stress,occlusion_aware_permanence_v5,occlusion_aware_permanence_v4,-0.04167,0.13455,0.00645,0.08265,3,8
