method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_final_belief_error,ci95_mean_final_belief_error,mean_mean_error_during_occlusion,ci95_mean_error_during_occlusion,mean_mean_error_after_occlusion,ci95_mean_error_after_occlusion,mean_false_disappearance_rate,ci95_false_disappearance_rate,mean_identity_switch_rate,ci95_identity_switch_rate,mean_wrong_object_contact_rate,ci95_wrong_object_contact_rate,mean_wrong_contact_rate,ci95_wrong_contact_rate,mean_target_contact_rate,ci95_target_contact_rate,mean_mean_reacquisition_latency,ci95_mean_reacquisition_latency,mean_mean_diagnostic_steps,ci95_mean_diagnostic_steps,mean_mean_path_length,ci95_mean_path_length,mean_mean_calibration_error,ci95_mean_calibration_error,mean_mean_occluded_steps,ci95_mean_occluded_steps
ensemble_uncertainty_planner,near_identical_distractors,8,6,0.54167,0.20241,0.11339,0.05253,0.11799,0.02792,0.05098,0.01911,0.25031,0.05701,0.11844,0.03103,0.00000,0.00000,0.17500,0.06025,0.38820,0.02357,1.94653,3.69810,28.77083,1.32971,1.50128,0.03410,0.05549,0.01122,43.27083,2.14560
ensemble_uncertainty_planner,nominal,8,6,0.91667,0.06174,0.03917,0.01838,0.10457,0.00949,0.01495,0.00044,0.00591,0.00713,0.04167,0.05346,0.00000,0.00000,0.07870,0.04468,0.74329,0.01389,0.00000,0.00000,4.72917,0.80002,1.31304,0.03870,0.03869,0.00457,35.16667,1.38042
ensemble_uncertainty_planner,object_displacement,8,6,0.50000,0.21385,0.06961,0.06166,0.07964,0.02920,0.03615,0.00083,0.24724,0.04945,0.04395,0.02832,0.00000,0.00000,0.10463,0.06505,0.43958,0.02167,0.04954,0.01912,27.14583,0.69417,1.33127,0.04638,0.05447,0.00968,35.37500,2.37556
ensemble_uncertainty_planner,short_self_occlusion,8,6,0.64583,0.07402,0.12817,0.04384,0.13482,0.01808,0.04171,0.03163,0.10090,0.02904,0.11181,0.07711,0.00000,0.00000,0.04838,0.04057,0.52246,0.01958,1.88889,3.67115,22.14583,1.04299,1.54502,0.03559,0.05438,0.00927,42.50000,1.48162
ensemble_uncertainty_planner,stale_memory_trap,8,6,0.12500,0.08167,0.27743,0.10863,0.22959,0.06338,0.09704,0.06626,0.79115,0.04340,0.18664,0.04410,0.00000,0.00000,0.12037,0.05733,0.13912,0.03573,7.53891,9.62858,35.64583,3.83371,1.56046,0.07027,0.27470,0.12671,53.14583,3.97092
hist_gradient_occlusion_regressor,camera_dropout_burst,8,6,0.91667,0.06174,0.06515,0.00687,0.06356,0.00534,0.06022,0.00945,0.19877,0.01717,0.23740,0.07072,0.00000,0.00000,0.15810,0.07664,0.69190,0.03620,75.02083,5.52527,0.00000,0.00000,1.06712,0.04661,0.06537,0.00606,69.60417,0.89661
hist_gradient_occlusion_regressor,combined_extreme_stress,8,6,0.68750,0.19944,0.07754,0.01430,0.07935,0.00884,0.07726,0.01457,0.22293,0.01802,0.35224,0.10958,0.00000,0.00000,0.25000,0.06337,0.55116,0.09621,86.25000,4.81170,0.00000,0.00000,1.10975,0.03583,0.06548,0.00190,70.14583,0.94322
hist_gradient_occlusion_regressor,combined_stress,8,6,0.72917,0.13718,0.06913,0.01930,0.06846,0.00870,0.06943,0.01928,0.22246,0.01286,0.28907,0.06283,0.00000,0.00000,0.24005,0.07172,0.61782,0.06478,88.12500,3.67500,0.00000,0.00000,1.10309,0.03778,0.06624,0.00289,69.91667,0.78332
hist_gradient_occlusion_regressor,distractor_swap,8,6,1.00000,0.00000,0.05172,0.00658,0.04809,0.00411,0.05078,0.00668,0.21264,0.01680,0.33840,0.06737,0.00000,0.00000,0.22454,0.09018,0.76643,0.01149,86.25000,4.81170,0.00000,0.00000,1.05620,0.04141,0.06636,0.00320,69.16667,0.96036
hist_gradient_occlusion_regressor,embodiment_control_shift,8,6,0.91667,0.10693,0.05685,0.01613,0.05213,0.00810,0.05683,0.01604,0.21945,0.01531,0.30101,0.09826,0.00000,0.00000,0.13403,0.06958,0.71042,0.05798,88.12500,3.67500,0.00000,0.00000,1.03714,0.05245,0.06798,0.00396,69.47917,1.02083
hist_gradient_occlusion_regressor,end_effector_occlusion,8,6,1.00000,0.00000,0.04098,0.00979,0.03975,0.00272,0.04098,0.00979,0.22925,0.01286,0.17112,0.09228,0.00000,0.00000,0.08611,0.04510,0.77037,0.01346,90.00000,0.00000,0.00000,0.00000,1.03384,0.04736,0.07483,0.00282,70.14583,1.16060
hist_gradient_occlusion_regressor,false_reappearance,8,6,0.85417,0.07402,0.06754,0.00419,0.06485,0.00421,0.06734,0.00424,0.21151,0.01526,0.30515,0.06696,0.00000,0.00000,0.22130,0.07182,0.63565,0.05636,82.50000,5.55608,0.00000,0.00000,1.07464,0.02068,0.06301,0.00259,70.04167,0.62577
hist_gradient_occlusion_regressor,hidden_contact_drift,8,6,0.93750,0.05978,0.05200,0.01071,0.05523,0.00382,0.05186,0.00992,0.20665,0.01633,0.22122,0.08771,0.00000,0.00000,0.06968,0.06858,0.72871,0.02862,82.50000,5.55608,0.00000,0.00000,1.06723,0.03405,0.06540,0.00286,69.43750,0.75087
hist_gradient_occlusion_regressor,high_symmetry_layout,8,6,0.95833,0.05346,0.06579,0.00545,0.05346,0.00385,0.06276,0.00667,0.20890,0.01814,0.21180,0.08366,0.00000,0.00000,0.13380,0.07834,0.72685,0.03901,86.25000,4.81170,0.00000,0.00000,1.09442,0.04299,0.06635,0.00319,69.10417,1.03289
hist_gradient_occlusion_regressor,long_self_occlusion,8,6,0.95833,0.05346,0.04692,0.00516,0.04699,0.00553,0.04692,0.00516,0.24315,0.00703,0.11831,0.09395,0.00000,0.00000,0.05162,0.04515,0.76065,0.01460,90.00000,0.00000,0.00000,0.00000,1.02067,0.03281,0.07261,0.00337,71.37500,0.62272
hist_gradient_occlusion_regressor,near_identical_distractors,8,6,0.97917,0.04083,0.05352,0.01240,0.05230,0.00436,0.05375,0.01255,0.20888,0.01872,0.19723,0.10278,0.00000,0.00000,0.20972,0.13080,0.75833,0.01020,84.37500,7.73373,0.00000,0.00000,1.06170,0.03178,0.06586,0.00343,69.52083,0.63989
hist_gradient_occlusion_regressor,nominal,8,6,1.00000,0.00000,0.02197,0.00762,0.01998,0.00260,0.02034,0.00770,0.15168,0.02184,0.08681,0.07379,0.00000,0.00000,0.10556,0.07135,0.77824,0.00817,69.37500,7.73373,0.00000,0.00000,0.97534,0.04575,0.06864,0.00466,66.20833,1.11933
hist_gradient_occlusion_regressor,object_displacement,8,6,0.95833,0.05346,0.03975,0.00710,0.04592,0.00539,0.03929,0.00705,0.20471,0.01741,0.16327,0.08126,0.00000,0.00000,0.09722,0.04133,0.74653,0.03301,82.50000,5.55608,0.00000,0.00000,1.04540,0.04093,0.06888,0.00456,69.16666,0.88605
hist_gradient_occlusion_regressor,short_self_occlusion,8,6,1.00000,0.00000,0.04014,0.01203,0.03561,0.00373,0.03829,0.01226,0.21256,0.01506,0.04468,0.02981,0.00000,0.00000,0.02593,0.02229,0.77060,0.01267,86.25000,4.81170,0.00000,0.00000,1.00744,0.02896,0.07227,0.00366,69.22917,0.65023
hist_gradient_occlusion_regressor,stale_memory_trap,8,6,0.81250,0.09638,0.06688,0.01196,0.06042,0.00571,0.06688,0.01196,0.23561,0.00662,0.22308,0.09210,0.00000,0.00000,0.11551,0.07369,0.65301,0.05741,90.00000,0.00000,0.00000,0.00000,1.08079,0.03236,0.06722,0.00329,70.58333,0.61425
identity_consistency_tracker,camera_dropout_burst,8,6,0.31250,0.13004,0.17834,0.02813,0.23460,0.00922,0.06087,0.00443,0.04590,0.03136,0.40410,0.04540,0.00000,0.00000,0.28333,0.04347,0.22963,0.02938,0.17743,0.05498,0.00000,0.00000,1.91573,0.05415,0.09910,0.00504,42.20834,2.98423
identity_consistency_tracker,combined_extreme_stress,8,6,0.16667,0.12347,0.17129,0.02517,0.21227,0.01106,0.10315,0.01566,0.21171,0.05134,0.54862,0.06264,0.00000,0.00000,0.42685,0.08720,0.16528,0.01640,17.11458,10.28078,0.00000,0.00000,1.85561,0.06137,0.10700,0.00424,54.87500,2.04260
identity_consistency_tracker,combined_stress,8,6,0.16667,0.08730,0.18004,0.03610,0.22245,0.01775,0.08507,0.02963,0.14045,0.05807,0.55734,0.08429,0.00000,0.00000,0.42778,0.08011,0.18264,0.02262,9.49514,7.70569,0.00000,0.00000,1.88540,0.10192,0.10131,0.00864,51.00000,3.77185
identity_consistency_tracker,distractor_swap,8,6,0.31250,0.11446,0.11045,0.02902,0.18089,0.00897,0.03554,0.00249,0.05208,0.02766,0.61662,0.04790,0.00000,0.00000,0.49745,0.04012,0.36204,0.02604,1.92569,3.67023,0.00000,0.00000,1.64081,0.04471,0.06975,0.00380,43.37500,2.69217
identity_consistency_tracker,embodiment_control_shift,8,6,0.29167,0.10237,0.15108,0.02161,0.20820,0.00730,0.04418,0.00192,0.05607,0.02843,0.56127,0.07762,0.00000,0.00000,0.34607,0.09127,0.28334,0.03518,0.09687,0.03215,0.00000,0.00000,1.77188,0.03623,0.08351,0.00207,43.68750,1.91420
identity_consistency_tracker,end_effector_occlusion,8,6,0.31250,0.09638,0.17617,0.03847,0.20862,0.01508,0.03363,0.00156,0.02101,0.01620,0.38116,0.06374,0.00000,0.00000,0.24606,0.06963,0.26505,0.01691,0.04410,0.01859,0.00000,0.00000,1.87386,0.07675,0.07938,0.00825,43.00000,2.31729
identity_consistency_tracker,false_reappearance,8,6,0.31250,0.11446,0.15569,0.04022,0.19139,0.01101,0.06202,0.01608,0.12600,0.05588,0.64697,0.04708,0.00000,0.00000,0.48472,0.05932,0.22130,0.01863,7.57292,7.84300,0.00000,0.00000,1.70373,0.05884,0.08238,0.00416,50.08333,3.05007
identity_consistency_tracker,hidden_contact_drift,8,6,0.35417,0.14395,0.20603,0.03928,0.22573,0.00903,0.05879,0.02742,0.09201,0.08056,0.48459,0.08736,0.00000,0.00000,0.25717,0.07790,0.25764,0.01638,5.69792,7.76014,0.00000,0.00000,1.85780,0.04661,0.08966,0.00681,43.89583,3.97020
identity_consistency_tracker,high_symmetry_layout,8,6,0.20833,0.13455,0.14119,0.02851,0.19160,0.00797,0.04469,0.00276,0.06124,0.02573,0.60331,0.05811,0.00000,0.00000,0.44908,0.04298,0.23796,0.03238,0.07569,0.07093,0.00000,0.00000,1.72891,0.03185,0.07869,0.00328,46.31250,2.22965
identity_consistency_tracker,long_self_occlusion,8,6,0.10417,0.05978,0.13866,0.05044,0.23527,0.01371,0.03754,0.00304,0.05491,0.03778,0.24972,0.07550,0.00000,0.00000,0.15417,0.03540,0.20787,0.02568,0.05278,0.04576,0.00000,0.00000,1.99352,0.08213,0.09474,0.00631,46.93750,2.24456
identity_consistency_tracker,near_identical_distractors,8,6,0.18750,0.14396,0.10918,0.03377,0.18493,0.00650,0.04388,0.00568,0.07868,0.05850,0.62269,0.02877,0.00000,0.00000,0.46366,0.05162,0.31690,0.01890,3.79340,4.81394,0.00000,0.00000,1.67013,0.03755,0.07465,0.00371,44.45833,2.71332
identity_consistency_tracker,nominal,8,6,0.89583,0.08593,0.06520,0.03698,0.09302,0.00883,0.01521,0.00042,0.00329,0.00481,0.09722,0.10081,0.00000,0.00000,0.10880,0.04921,0.72454,0.02800,0.00000,0.00000,0.00000,0.00000,1.29729,0.06835,0.02175,0.00340,34.22917,1.20964
identity_consistency_tracker,object_displacement,8,6,0.37500,0.14803,0.13552,0.04168,0.22860,0.00815,0.03818,0.00190,0.01586,0.01469,0.38162,0.08999,0.00000,0.00000,0.15810,0.06460,0.31273,0.01621,0.03542,0.02406,0.00000,0.00000,1.87353,0.03649,0.08325,0.00503,36.87500,1.43424
identity_consistency_tracker,short_self_occlusion,8,6,0.50000,0.17461,0.07703,0.01928,0.17341,0.01284,0.02679,0.00116,0.00826,0.00822,0.23056,0.11580,0.00000,0.00000,0.11181,0.04093,0.39907,0.01482,0.00521,0.01021,0.00000,0.00000,1.70892,0.04694,0.05757,0.00523,39.43750,0.78317
identity_consistency_tracker,stale_memory_trap,8,6,0.22917,0.23047,0.16525,0.04583,0.23269,0.01070,0.05494,0.00847,0.07694,0.08113,0.45966,0.05339,0.00000,0.00000,0.31435,0.05862,0.18055,0.02188,3.89167,7.33376,0.00000,0.00000,1.95488,0.03777,0.09818,0.00336,46.37500,3.82690
last_seen_memory,camera_dropout_burst,8,6,0.33333,0.12347,0.11190,0.02516,0.17988,0.01757,0.08231,0.02808,0.38213,0.02866,0.92729,0.02505,0.00000,0.00000,0.39606,0.04850,0.27315,0.04858,11.39826,10.76738,0.00000,0.00000,1.46285,0.04021,0.09284,0.00709,51.12500,3.50297
last_seen_memory,combined_extreme_stress,8,6,0.14583,0.11446,0.14139,0.02074,0.16621,0.01296,0.09546,0.00938,0.46650,0.02851,0.82977,0.03148,0.12500,0.08167,0.64190,0.04676,0.12546,0.03590,24.53854,9.49264,0.00000,0.00000,1.40605,0.03668,0.08053,0.00303,61.12500,3.84528
last_seen_memory,combined_stress,8,6,0.12500,0.10237,0.13495,0.01816,0.16328,0.02042,0.08639,0.00880,0.43460,0.04183,0.86120,0.04546,0.00000,0.00000,0.58287,0.08835,0.17708,0.05615,28.20069,15.11535,0.00000,0.00000,1.40895,0.06783,0.08605,0.00475,58.02083,5.28303
last_seen_memory,distractor_swap,8,6,0.45833,0.19276,0.08254,0.02194,0.12282,0.00862,0.04538,0.00845,0.40077,0.02368,0.95009,0.02037,0.00000,0.00000,0.55857,0.05382,0.43033,0.04376,9.41059,5.38100,0.00000,0.00000,1.31847,0.04507,0.07764,0.00367,51.52083,2.92990
last_seen_memory,embodiment_control_shift,8,6,0.43750,0.10581,0.09350,0.02964,0.13681,0.01686,0.06452,0.02474,0.41493,0.02597,0.94975,0.02459,0.00000,0.00000,0.48333,0.07605,0.32014,0.03647,11.31771,10.75769,0.00000,0.00000,1.36163,0.04323,0.08081,0.00407,53.72917,2.70008
last_seen_memory,end_effector_occlusion,8,6,0.37500,0.18261,0.10676,0.03404,0.13063,0.02539,0.05013,0.02478,0.42745,0.02105,0.96822,0.02037,0.00000,0.00000,0.33519,0.07236,0.37847,0.05190,13.15660,6.65785,0.00000,0.00000,1.40450,0.05863,0.09507,0.00588,55.89583,2.89028
last_seen_memory,false_reappearance,8,6,0.12500,0.10237,0.13050,0.02299,0.15747,0.01380,0.07635,0.01540,0.42334,0.02187,0.94437,0.02402,0.00000,0.00000,0.59791,0.05585,0.16875,0.02451,16.99400,6.65363,0.00000,0.00000,1.33847,0.04014,0.07894,0.00267,55.52083,2.43395
last_seen_memory,hidden_contact_drift,8,6,0.39583,0.15043,0.10414,0.03574,0.16164,0.02401,0.05973,0.01710,0.39591,0.05354,0.95687,0.02625,0.00000,0.00000,0.38472,0.10551,0.29606,0.03517,15.05283,12.41755,0.00000,0.00000,1.42884,0.04905,0.09136,0.00673,52.35417,6.37880
last_seen_memory,high_symmetry_layout,8,6,0.16667,0.06173,0.09570,0.02088,0.14248,0.00855,0.05746,0.01266,0.41283,0.02152,0.92896,0.01515,0.00000,0.00000,0.53079,0.03581,0.22778,0.05127,16.93490,11.69916,0.00000,0.00000,1.38841,0.04215,0.07663,0.00356,54.02083,2.80496
last_seen_memory,long_self_occlusion,8,6,0.37500,0.16039,0.12887,0.02922,0.14065,0.01200,0.06617,0.01797,0.45418,0.02210,0.97309,0.03989,0.00000,0.00000,0.26250,0.06979,0.34445,0.05532,20.66493,11.02165,0.00000,0.00000,1.45775,0.07562,0.09672,0.00522,59.47917,2.85679
last_seen_memory,near_identical_distractors,8,6,0.31250,0.14395,0.09855,0.01949,0.13252,0.00682,0.05307,0.01147,0.40136,0.02087,0.93182,0.01761,0.00000,0.00000,0.52662,0.04526,0.31435,0.01959,13.15838,8.67112,0.00000,0.00000,1.31305,0.03034,0.07665,0.00354,52.29167,2.77718
last_seen_memory,nominal,8,6,0.89583,0.05978,0.03485,0.01548,0.04349,0.01323,0.03463,0.01605,0.46542,0.01609,0.66667,0.10693,0.00000,0.00000,0.16967,0.05161,0.71296,0.02939,37.50000,11.11216,0.00000,0.00000,1.06580,0.04794,0.11682,0.00412,59.04167,1.92047
last_seen_memory,object_displacement,8,6,0.52083,0.19945,0.11122,0.02830,0.13299,0.01791,0.04430,0.01544,0.37566,0.03282,0.97156,0.01667,0.00000,0.00000,0.23287,0.08995,0.46921,0.04675,1.93472,3.65838,0.00000,0.00000,1.44489,0.08202,0.09320,0.00244,49.35416,3.80677
last_seen_memory,short_self_occlusion,8,6,0.75000,0.12347,0.08590,0.04012,0.08167,0.00928,0.02840,0.00509,0.41883,0.02320,1.00000,0.00000,0.00000,0.00000,0.11806,0.04526,0.59630,0.02566,1.89931,3.66832,0.00000,0.00000,1.35584,0.05260,0.10874,0.00453,53.77083,2.69442
last_seen_memory,stale_memory_trap,8,6,0.22917,0.10581,0.14458,0.03068,0.16752,0.01523,0.07955,0.03023,0.44482,0.02763,0.92069,0.02816,0.00000,0.00000,0.49884,0.07163,0.18125,0.04057,18.85694,14.41243,0.00000,0.00000,1.44984,0.04686,0.08690,0.00700,58.37500,3.44483
learned_occlusion_regressor,camera_dropout_burst,8,6,0.68750,0.13004,0.07337,0.00815,0.07624,0.00594,0.07273,0.00812,0.20531,0.01805,0.59020,0.05968,0.00000,0.00000,0.14282,0.11159,0.64884,0.07161,78.77500,9.18957,0.00000,0.00000,1.10956,0.04398,0.06897,0.00422,68.81250,1.40564
learned_occlusion_regressor,combined_extreme_stress,8,6,0.70833,0.17186,0.09029,0.01983,0.08643,0.00805,0.08615,0.01611,0.22689,0.01505,0.53085,0.07823,0.00000,0.00000,0.24745,0.07839,0.54630,0.09433,88.12500,3.67500,0.00000,0.00000,1.14644,0.04003,0.06598,0.00219,70.00000,1.12992
learned_occlusion_regressor,combined_stress,8,6,0.72917,0.15043,0.08646,0.02084,0.07849,0.01079,0.07891,0.01866,0.19481,0.02276,0.55708,0.04470,0.00000,0.00000,0.23218,0.07262,0.55972,0.07888,76.87500,8.67442,0.00000,0.00000,1.14385,0.05217,0.06764,0.00356,69.06250,1.08859
learned_occlusion_regressor,distractor_swap,8,6,1.00000,0.00000,0.05917,0.00993,0.04971,0.00268,0.05281,0.00980,0.20675,0.01532,0.50931,0.05161,0.00000,0.00000,0.21690,0.11181,0.74491,0.02582,84.37500,5.37965,0.00000,0.00000,1.05989,0.03830,0.06806,0.00262,69.02083,0.92691
learned_occlusion_regressor,embodiment_control_shift,8,6,0.89583,0.10581,0.05986,0.00380,0.05757,0.00587,0.05895,0.00361,0.20315,0.01745,0.61223,0.04357,0.00000,0.00000,0.15857,0.08471,0.68820,0.04674,82.50000,7.85748,0.00000,0.00000,1.06100,0.04845,0.06556,0.00400,69.06250,0.98763
learned_occlusion_regressor,end_effector_occlusion,8,6,0.97917,0.04083,0.05922,0.02004,0.04452,0.00451,0.05922,0.02004,0.22692,0.01265,0.65563,0.12174,0.00000,0.00000,0.07199,0.05213,0.75972,0.01490,90.00000,0.00000,0.00000,0.00000,1.04512,0.04406,0.07533,0.00312,69.95833,1.18064
learned_occlusion_regressor,false_reappearance,8,6,0.77083,0.12250,0.07660,0.01032,0.06986,0.00704,0.07324,0.00795,0.21465,0.01103,0.59473,0.06286,0.00000,0.00000,0.22755,0.07652,0.64004,0.06299,82.50000,5.55608,0.00000,0.00000,1.10318,0.02327,0.06606,0.00228,69.91667,0.53106
learned_occlusion_regressor,hidden_contact_drift,8,6,0.95833,0.05346,0.06345,0.01363,0.06129,0.00712,0.05956,0.01642,0.18388,0.02240,0.65753,0.06584,0.00000,0.00000,0.10625,0.09169,0.71505,0.02650,73.12500,8.67442,0.00000,0.00000,1.10072,0.04756,0.06681,0.00235,68.50000,1.17457
learned_occlusion_regressor,high_symmetry_layout,8,6,0.95833,0.05346,0.06388,0.01634,0.06337,0.00581,0.06380,0.01648,0.20459,0.01095,0.53478,0.07497,0.00000,0.00000,0.16759,0.06640,0.70671,0.04551,84.39583,5.35984,0.00000,0.00000,1.12574,0.04731,0.06363,0.00355,68.77083,0.78560
learned_occlusion_regressor,long_self_occlusion,8,6,0.93750,0.08593,0.05600,0.01606,0.04674,0.00412,0.05600,0.01606,0.24185,0.00738,0.51464,0.14098,0.00000,0.00000,0.05741,0.05229,0.74468,0.03578,90.00000,0.00000,0.00000,0.00000,1.02694,0.03287,0.07696,0.00307,71.22917,0.65023
learned_occlusion_regressor,near_identical_distractors,8,6,0.89583,0.05978,0.05785,0.01262,0.05810,0.00459,0.05648,0.01141,0.20774,0.01603,0.51841,0.04674,0.00000,0.00000,0.21505,0.11411,0.72083,0.02851,84.37500,5.37965,0.00000,0.00000,1.07615,0.03261,0.06617,0.00276,69.31250,0.71312
learned_occlusion_regressor,nominal,8,6,1.00000,0.00000,0.02333,0.00604,0.01991,0.00156,0.01918,0.00504,0.13066,0.02160,0.41319,0.09946,0.00000,0.00000,0.10880,0.06137,0.77593,0.00846,54.37500,9.52264,0.00000,0.00000,0.97960,0.04545,0.06621,0.00459,65.02083,1.11880
learned_occlusion_regressor,object_displacement,8,6,0.97917,0.04083,0.06359,0.02023,0.05437,0.00508,0.06136,0.01537,0.18359,0.03389,0.61137,0.08733,0.00000,0.00000,0.08009,0.04426,0.75046,0.02839,71.29167,12.07385,0.00000,0.00000,1.07195,0.05449,0.06811,0.00329,68.52083,1.22451
learned_occlusion_regressor,short_self_occlusion,8,6,1.00000,0.00000,0.04156,0.01158,0.03636,0.00256,0.04109,0.01155,0.21491,0.00742,0.61672,0.07253,0.00000,0.00000,0.04283,0.04338,0.77269,0.00715,88.12500,3.67500,0.00000,0.00000,1.01528,0.02687,0.07628,0.00285,69.12500,0.57499
learned_occlusion_regressor,stale_memory_trap,8,6,0.75000,0.08730,0.08157,0.01262,0.07270,0.00506,0.07387,0.00773,0.20832,0.01396,0.62989,0.08865,0.00000,0.00000,0.10810,0.04193,0.62106,0.03546,80.62500,5.37965,0.00000,0.00000,1.12636,0.02877,0.06451,0.00370,69.77083,0.55539
no_self_mask_ablation,camera_dropout_burst,8,6,0.89583,0.08593,0.05118,0.00537,0.05541,0.00640,0.05299,0.00574,0.63210,0.04326,0.02536,0.01749,0.00000,0.00000,0.13981,0.07421,0.64768,0.05835,76.94792,14.01900,0.00000,0.00000,1.00666,0.05310,0.13569,0.00937,69.62500,1.00449
no_self_mask_ablation,combined_extreme_stress,8,6,0.58333,0.10693,0.07479,0.01224,0.08610,0.00895,0.07612,0.01139,0.63283,0.03290,0.07616,0.08685,0.00000,0.00000,0.15579,0.10605,0.38148,0.06481,76.95833,8.60539,0.00000,0.00000,1.05988,0.04321,0.12830,0.00587,69.62500,1.24199
no_self_mask_ablation,combined_stress,8,6,0.72917,0.05977,0.06036,0.00827,0.06960,0.00730,0.06027,0.00870,0.64642,0.01881,0.06882,0.03587,0.00000,0.00000,0.21806,0.10277,0.52014,0.05367,78.77083,7.34428,0.00000,0.00000,1.05246,0.04042,0.13232,0.00458,69.54167,0.89408
no_self_mask_ablation,distractor_swap,8,6,1.00000,0.00000,0.03323,0.00492,0.03517,0.00518,0.03323,0.00492,0.66872,0.00503,0.00696,0.00320,0.00000,0.00000,0.10741,0.05911,0.76528,0.01487,90.00000,0.00000,0.00000,0.00000,0.99918,0.03836,0.14682,0.00435,69.33333,1.02561
no_self_mask_ablation,embodiment_control_shift,8,6,1.00000,0.00000,0.04231,0.00359,0.04769,0.00306,0.04148,0.00253,0.64070,0.02117,0.00569,0.00610,0.00000,0.00000,0.09907,0.07450,0.74583,0.01392,78.77083,7.32089,0.00000,0.00000,0.99344,0.04264,0.13730,0.00486,69.29167,0.90468
