method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_final_belief_error,ci95_mean_final_belief_error,mean_mean_error_during_occlusion,ci95_mean_error_during_occlusion,mean_mean_error_after_occlusion,ci95_mean_error_after_occlusion,mean_false_disappearance_rate,ci95_false_disappearance_rate,mean_identity_switch_rate,ci95_identity_switch_rate,mean_wrong_object_contact_rate,ci95_wrong_object_contact_rate,mean_wrong_contact_rate,ci95_wrong_contact_rate,mean_target_contact_rate,ci95_target_contact_rate,mean_mean_reacquisition_latency,ci95_mean_reacquisition_latency,mean_mean_diagnostic_steps,ci95_mean_diagnostic_steps,mean_mean_path_length,ci95_mean_path_length,mean_mean_calibration_error,ci95_mean_calibration_error,mean_mean_occluded_steps,ci95_mean_occluded_steps
ensemble_uncertainty_planner,camera_dropout_burst,8,6,0.08333,0.08731,0.14060,0.04972,0.13561,0.03564,0.05621,0.00386,0.43237,0.05237,0.11237,0.05814,0.00000,0.00000,0.16296,0.07652,0.20000,0.03146,0.14707,0.04658,33.08333,0.88820,1.43482,0.04742,0.09138,0.02421,42.81250,2.74730
ensemble_uncertainty_planner,combined_extreme_stress,8,6,0.10417,0.10581,0.40116,0.13788,0.35366,0.04539,0.20317,0.12024,0.86194,0.03447,0.30780,0.04520,0.10417,0.08593,0.12917,0.05112,0.10417,0.01971,18.88649,18.20282,32.27083,3.74495,1.60602,0.03574,0.63740,0.15298,60.12500,2.45835
ensemble_uncertainty_planner,combined_stress,8,6,0.06250,0.05978,0.32871,0.07081,0.27826,0.03605,0.15999,0.06991,0.80528,0.03119,0.23683,0.03827,0.00000,0.00000,0.17986,0.09300,0.15532,0.02883,13.22356,8.66806,32.31250,1.19299,1.61527,0.02796,0.34120,0.05350,54.68750,2.20818
ensemble_uncertainty_planner,distractor_swap,8,6,0.64583,0.13005,0.07587,0.01906,0.09151,0.00817,0.03489,0.00142,0.11055,0.03022,0.10313,0.01582,0.00000,0.00000,0.26111,0.06182,0.43102,0.00878,0.04444,0.02484,26.58333,0.83968,1.50929,0.03936,0.04391,0.00109,40.31250,0.98085
ensemble_uncertainty_planner,embodiment_control_shift,8,6,0.08333,0.08731,0.11286,0.05174,0.11810,0.03435,0.05044,0.02040,0.48851,0.04114,0.09906,0.04418,0.00000,0.00000,0.19954,0.07394,0.19190,0.02249,1.95707,3.67154,31.81250,1.45624,1.38326,0.03934,0.08659,0.02951,41.43750,2.88896
ensemble_uncertainty_planner,end_effector_occlusion,8,6,0.27083,0.16260,0.15166,0.06261,0.15637,0.04401,0.07110,0.04319,0.27605,0.06802,0.08248,0.04261,0.00000,0.00000,0.10579,0.04706,0.34722,0.02727,5.67083,5.36934,28.87500,1.29311,1.58339,0.02521,0.07308,0.02231,47.35417,3.09684
ensemble_uncertainty_planner,false_reappearance,8,6,0.12500,0.08167,0.16138,0.06453,0.15152,0.03215,0.06866,0.02884,0.44085,0.06016,0.12419,0.03516,0.00000,0.00000,0.20926,0.07519,0.14491,0.03054,3.79687,4.82010,33.83333,1.57028,1.45140,0.05267,0.10356,0.02351,45.56250,2.20603
ensemble_uncertainty_planner,hidden_contact_drift,8,6,0.08334,0.06174,0.12445,0.04738,0.12458,0.03418,0.06595,0.02590,0.51338,0.04578,0.10742,0.05262,0.00000,0.00000,0.10903,0.05650,0.20417,0.01676,5.68777,5.37750,30.75000,1.65765,1.39324,0.04796,0.13905,0.05145,41.43750,2.95870
ensemble_uncertainty_planner,high_symmetry_layout,8,6,0.10417,0.05978,0.09110,0.03803,0.11647,0.02546,0.05094,0.01496,0.38740,0.05368,0.08751,0.03364,0.00000,0.00000,0.21227,0.09457,0.13959,0.02739,1.93314,3.67628,33.04166,0.84814,1.42014,0.05189,0.08364,0.02314,42.47917,2.12642
ensemble_uncertainty_planner,long_self_occlusion,8,6,0.27083,0.10581,0.29890,0.10159,0.22741,0.04422,0.10267,0.05174,0.47506,0.06064,0.18589,0.07399,0.00000,0.00000,0.04954,0.03356,0.27315,0.03201,7.53125,5.56382,30.85417,0.94926,1.64529,0.02608,0.10108,0.02243,53.16667,2.89361
