variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5962,0.0191,0.4038,0.0191,0.0209,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4126,0.0216,0.5874,0.0216,0.0239,7,600
observed_only_behavior_clone,embodiment_shift,0.4548,0.0164,0.5452,0.0164,0.0196,7,600
observed_only_behavior_clone,combined_stress,0.3305,0.0137,0.6695,0.0137,0.0099,7,600
data_augmentation_wam,nominal,0.6431,0.0129,0.3569,0.0129,0.0105,7,600
data_augmentation_wam,hidden_mode_shift,0.4722,0.0096,0.5278,0.0096,0.0196,7,600
data_augmentation_wam,embodiment_shift,0.5281,0.0087,0.4719,0.0087,0.0096,7,600
data_augmentation_wam,combined_stress,0.4188,0.0111,0.5812,0.0111,0.0127,7,600
scalar_uncertainty_planner,nominal,0.6747,0.0075,0.3253,0.0075,0.0085,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5667,0.0134,0.4333,0.0134,0.0163,7,600
scalar_uncertainty_planner,embodiment_shift,0.5590,0.0142,0.4410,0.0142,0.0215,7,600
scalar_uncertainty_planner,combined_stress,0.5060,0.0130,0.4940,0.0130,0.0131,7,600
ensemble_disagreement_planner,nominal,0.7160,0.0146,0.2840,0.0146,0.0179,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5960,0.0171,0.4040,0.0171,0.0166,7,600
ensemble_disagreement_planner,embodiment_shift,0.6009,0.0070,0.3991,0.0070,0.0138,7,600
ensemble_disagreement_planner,combined_stress,0.5538,0.0142,0.4462,0.0142,0.0156,7,600
conformal_risk_filter,nominal,0.7060,0.0073,0.2940,0.0073,0.0092,7,600
conformal_risk_filter,hidden_mode_shift,0.5945,0.0171,0.4055,0.0171,0.0174,7,600
conformal_risk_filter,embodiment_shift,0.6312,0.0098,0.3688,0.0098,0.0119,7,600
conformal_risk_filter,combined_stress,0.5471,0.0104,0.4529,0.0104,0.0131,7,600
proposed_branch_mechanism,nominal,0.7633,0.0158,0.2367,0.0158,0.0124,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6874,0.0283,0.3126,0.0283,0.0247,7,600
proposed_branch_mechanism,embodiment_shift,0.7145,0.0197,0.2855,0.0197,0.0220,7,600
proposed_branch_mechanism,combined_stress,0.6648,0.0170,0.3352,0.0170,0.0157,7,600
oracle_branch_upper_bound,nominal,0.8114,0.0115,0.1886,0.0115,0.0104,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7541,0.0282,0.2459,0.0282,0.0286,7,600
oracle_branch_upper_bound,embodiment_shift,0.7776,0.0174,0.2224,0.0174,0.0219,7,600
oracle_branch_upper_bound,combined_stress,0.7391,0.0101,0.2609,0.0101,0.0103,7,600
