method,budget,success_at_budget,coverage,false_disappearance,wrong_object_contact,identity_switch,threshold
ensemble_uncertainty_planner,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
ensemble_uncertainty_planner,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
hist_gradient_occlusion_regressor,0.10,0.80000,0.00868,0.05441,0.00000,0.10000,0.07100
hist_gradient_occlusion_regressor,0.20,0.83333,0.01042,0.04534,0.00000,0.17222,0.08300
identity_consistency_tracker,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
identity_consistency_tracker,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
last_seen_memory,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
last_seen_memory,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
learned_occlusion_regressor,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
learned_occlusion_regressor,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
no_self_mask_ablation,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
no_self_mask_ablation,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
occlusion_aware_permanence_v4,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
occlusion_aware_permanence_v4,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
occlusion_aware_permanence_v5,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
occlusion_aware_permanence_v5,0.20,0.75000,0.01389,0.19140,0.12500,0.05885,0.26700
oracle_state,0.10,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
oracle_state,0.20,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000
particle_belief_tracker,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
particle_belief_tracker,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
pomdp_style_belief_planner,0.10,0.53563,0.70660,0.01590,0.00000,0.04143,0.34100
pomdp_style_belief_planner,0.20,0.58507,1.00000,0.19686,0.00000,0.04042,0.36000
random_forest_occlusion_regressor,0.10,0.93333,0.02604,0.01499,0.00000,0.09888,0.16000
random_forest_occlusion_regressor,0.20,0.93333,0.02604,0.01499,0.00000,0.09888,0.16000
risk_averse_particle_planner,0.10,0.38078,0.97569,0.08250,0.00178,0.00258,0.26879
risk_averse_particle_planner,0.20,0.38078,0.97569,0.08250,0.00178,0.00258,0.26879
visibility_gated_kalman,0.10,0.00000,0.00000,1.00000,1.00000,1.00000,inf
visibility_gated_kalman,0.20,0.00000,0.00000,1.00000,1.00000,1.00000,inf
