split,reference,comparison,paired_success_diff,ci95_success_diff,paired_occlusion_error_reduction,paired_false_disappearance_reduction,reference_better_seeds,seeds
combined_stress,occlusion_aware_permanence,ensemble_uncertainty_planner,0.79762,0.04857,0.16126,0.09352,7,7
combined_stress,occlusion_aware_permanence,last_seen_memory,0.71429,0.12780,0.11389,-0.15237,7,7
combined_stress,occlusion_aware_permanence,learned_occlusion_regressor,0.19048,0.17357,0.02265,-0.37278,5,7
combined_stress,occlusion_aware_permanence,no_self_mask_ablation,0.11905,0.12273,0.01512,0.12459,5,7
combined_stress,occlusion_aware_permanence,oracle_state,-0.09524,0.08304,-0.05384,-0.57473,0,7
combined_stress,occlusion_aware_permanence,particle_belief_tracker,0.66667,0.11821,0.07688,-0.52607,7,7
combined_stress,occlusion_aware_permanence,visibility_gated_kalman,0.65476,0.14000,0.14775,-0.57287,7,7
distractor_swap,occlusion_aware_permanence,ensemble_uncertainty_planner,0.34524,0.06600,0.04737,-0.42142,7,7
distractor_swap,occlusion_aware_permanence,last_seen_memory,0.54762,0.09991,0.09249,-0.10940,7,7
distractor_swap,occlusion_aware_permanence,learned_occlusion_regressor,-0.03571,0.04857,0.01306,-0.30498,1,7
distractor_swap,occlusion_aware_permanence,no_self_mask_ablation,-0.04762,0.03300,-0.00159,0.20016,0,7
distractor_swap,occlusion_aware_permanence,oracle_state,-0.04762,0.03300,-0.03605,-0.51005,0,7
distractor_swap,occlusion_aware_permanence,particle_belief_tracker,0.26191,0.11510,0.04578,-0.51005,7,7
distractor_swap,occlusion_aware_permanence,visibility_gated_kalman,0.48810,0.08304,0.12314,-0.50883,7,7
nominal,occlusion_aware_permanence,ensemble_uncertainty_planner,0.10714,0.09236,0.08501,0.00260,4,7
nominal,occlusion_aware_permanence,last_seen_memory,0.08333,0.05041,0.02032,0.44654,5,7
nominal,occlusion_aware_permanence,learned_occlusion_regressor,0.00000,0.00000,0.00153,0.12776,0,7
nominal,occlusion_aware_permanence,no_self_mask_ablation,0.00000,0.00000,-0.00123,0.67191,0,7
nominal,occlusion_aware_permanence,oracle_state,0.00000,0.00000,-0.01735,0.00000,0,7
nominal,occlusion_aware_permanence,particle_belief_tracker,0.05952,0.03012,0.00263,0.00000,5,7
nominal,occlusion_aware_permanence,visibility_gated_kalman,0.19048,0.06869,0.06178,0.08526,7,7
object_displacement,occlusion_aware_permanence,ensemble_uncertainty_planner,0.40477,0.10348,0.03416,-0.21159,7,7
object_displacement,occlusion_aware_permanence,last_seen_memory,0.41667,0.10081,0.09962,-0.06676,7,7
object_displacement,occlusion_aware_permanence,learned_occlusion_regressor,-0.02381,0.04666,0.01691,-0.26654,1,7
object_displacement,occlusion_aware_permanence,no_self_mask_ablation,-0.03571,0.04857,0.01188,0.22152,1,7
object_displacement,occlusion_aware_permanence,oracle_state,-0.05952,0.03012,-0.03712,-0.44618,0,7
object_displacement,occlusion_aware_permanence,particle_belief_tracker,0.33334,0.16718,0.06210,-0.39919,6,7
object_displacement,occlusion_aware_permanence,visibility_gated_kalman,0.41667,0.13336,0.14724,-0.42576,7,7
self_occlusion,occlusion_aware_permanence,ensemble_uncertainty_planner,0.45238,0.15062,0.10159,-0.42509,7,7
self_occlusion,occlusion_aware_permanence,last_seen_memory,0.33333,0.14257,0.07664,-0.14250,7,7
self_occlusion,occlusion_aware_permanence,learned_occlusion_regressor,-0.02381,0.03012,0.00684,-0.33742,0,7
self_occlusion,occlusion_aware_permanence,no_self_mask_ablation,-0.02381,0.03012,0.00184,0.14782,0,7
self_occlusion,occlusion_aware_permanence,oracle_state,-0.02381,0.03012,-0.03083,-0.56819,0,7
self_occlusion,occlusion_aware_permanence,particle_belief_tracker,0.40476,0.08304,0.04166,-0.56819,7,7
self_occlusion,occlusion_aware_permanence,visibility_gated_kalman,0.53571,0.10608,0.13262,-0.52489,7,7
