group,method,success,false_disappearance,wrong_object_contact,identity_switch,occlusion_error,reacquisition_latency,diagnostic_steps,calibration_error
combined_and_extreme,last_seen_memory,0.13542,0.45055,0.06250,0.84548,0.16474,26.36962,0.00000,0.08329
combined_and_extreme,learned_occlusion_regressor,0.71875,0.21085,0.00000,0.54397,0.08246,82.50000,0.00000,0.06681
combined_and_extreme,no_self_mask_ablation,0.65625,0.63962,0.00000,0.07249,0.07785,77.86458,0.00000,0.13031
combined_and_extreme,occlusion_aware_permanence_v4,0.73958,0.59836,0.00000,0.04776,0.06494,84.38542,0.00000,0.12402
combined_and_extreme,occlusion_aware_permanence_v5,0.71875,0.51245,0.01042,0.07204,0.06344,84.37500,0.00000,0.11274
combined_and_extreme,oracle_state,1.00000,0.00000,0.00000,0.00000,0.00050,90.00000,0.00000,0.00039
combined_and_extreme,particle_belief_tracker,0.12500,0.11780,0.00000,0.73594,0.13270,31.92969,0.00000,0.04694
combined_and_extreme,pomdp_style_belief_planner,0.43750,0.34140,0.00000,0.08414,0.09627,28.24948,15.09375,0.10383
combined_and_extreme,random_forest_occlusion_regressor,0.70833,0.22612,0.00000,0.11489,0.06907,88.12500,0.00000,0.06489
combined_and_extreme,risk_averse_particle_planner,0.04167,0.31494,0.02083,0.02663,0.05227,0.15240,40.62500,0.07732
combined_and_extreme,visibility_gated_kalman,0.19792,0.00164,0.00000,0.66322,0.18715,17.95729,0.00000,0.08490
identity_hard,ensemble_uncertainty_planner,0.35417,0.29728,0.00000,0.10832,0.11937,1.93025,30.55729,0.07165
identity_hard,hist_gradient_occlusion_regressor,0.94792,0.21048,0.00000,0.26314,0.05467,84.84375,0.00000,0.06540
identity_hard,identity_consistency_tracker,0.25521,0.07950,0.00000,0.62240,0.18720,3.34193,0.00000,0.07637
identity_hard,last_seen_memory,0.26563,0.40958,0.00000,0.93881,0.13882,14.12447,0.00000,0.07746
identity_hard,learned_occlusion_regressor,0.90625,0.20843,0.00000,0.53931,0.06026,83.91146,0.00000,0.06598
identity_hard,no_self_mask_ablation,0.93750,0.66241,0.00000,0.02683,0.04393,87.19271,0.00000,0.14268
identity_hard,occlusion_aware_permanence_v4,0.96354,0.60526,0.00000,0.01472,0.04105,87.65625,0.00000,0.13195
identity_hard,occlusion_aware_permanence_v5,0.97396,0.52033,0.00000,0.00812,0.03994,88.59375,0.00000,0.11924
identity_hard,oracle_state,1.00000,0.00000,0.00000,0.00000,0.00021,90.00000,0.00000,0.00017
identity_hard,particle_belief_tracker,0.50000,0.00130,0.00000,0.63688,0.09933,15.99175,0.00000,0.03557
identity_hard,pomdp_style_belief_planner,0.61979,0.09790,0.00000,0.03324,0.05921,8.49523,16.77083,0.05830
identity_hard,random_forest_occlusion_regressor,0.94792,0.21506,0.00000,0.08868,0.04927,86.72917,0.00000,0.06707
identity_hard,risk_averse_particle_planner,0.53646,0.05871,0.00000,0.00000,0.02770,19.27813,20.00000,0.05899
identity_hard,visibility_gated_kalman,0.36979,0.00126,0.00000,0.67355,0.16937,3.79826,0.00000,0.06701
