group,method,success,false_disappearance,wrong_object_contact,identity_switch,occlusion_error,reacquisition_latency,diagnostic_steps,calibration_error
all_splits,ensemble_uncertainty_planner,0.30417,0.41246,0.00694,0.12995,0.16134,4.68682,28.79028,0.14524
all_splits,hist_gradient_occlusion_regressor,0.91389,0.21261,0.00000,0.21738,0.05241,84.50139,0.00000,0.06777
all_splits,identity_consistency_tracker,0.31528,0.06963,0.00000,0.45636,0.20158,3.33192,0.00000,0.08139
all_splits,last_seen_memory,0.37639,0.42125,0.00833,0.91869,0.13734,16.06789,0.00000,0.08926
all_splits,learned_occlusion_regressor,0.88333,0.20360,0.00000,0.56977,0.05838,80.63083,0.00000,0.06842
all_splits,no_self_mask_ablation,0.91528,0.65191,0.00000,0.02546,0.04789,83.39097,0.00000,0.14017
all_splits,occlusion_aware_permanence_v4,0.92639,0.59799,0.00000,0.01856,0.04269,85.87639,0.00000,0.13059
all_splits,occlusion_aware_permanence_v5,0.94306,0.51378,0.00139,0.01502,0.04042,86.37639,0.00000,0.11847
all_splits,oracle_state,1.00000,0.00000,0.00000,0.00000,0.00027,90.00000,0.00000,0.00021
all_splits,particle_belief_tracker,0.46667,0.04268,0.00000,0.60657,0.10229,19.30532,0.00000,0.04532
all_splits,pomdp_style_belief_planner,0.61806,0.15851,0.00000,0.03491,0.06373,13.06711,15.00417,0.06666
all_splits,random_forest_occlusion_regressor,0.92361,0.21191,0.00000,0.07229,0.04880,84.25278,0.00000,0.06748
all_splits,risk_averse_particle_planner,0.50139,0.09095,0.00278,0.00374,0.02990,20.32654,22.29722,0.06097
all_splits,visibility_gated_kalman,0.35417,0.02138,0.00000,0.56936,0.17695,4.56741,0.00000,0.07028
hard_splits,ensemble_uncertainty_planner,0.19618,0.49746,0.00868,0.14105,0.17410,5.69742,31.53299,0.17014
hard_splits,hist_gradient_occlusion_regressor,0.89236,0.21769,0.00000,0.23257,0.05687,85.47049,0.00000,0.06744
hard_splits,identity_consistency_tracker,0.25174,0.08173,0.00000,0.49176,0.21469,4.00399,0.00000,0.08932
hard_splits,last_seen_memory,0.29514,0.41948,0.01042,0.93030,0.15101,16.01738,0.00000,0.08631
hard_splits,learned_occlusion_regressor,0.85417,0.20847,0.00000,0.58394,0.06414,81.88229,0.00000,0.06798
hard_splits,no_self_mask_ablation,0.89410,0.64984,0.00000,0.03099,0.05347,82.05122,0.00000,0.13808
hard_splits,occlusion_aware_permanence_v4,0.90799,0.60803,0.00000,0.02303,0.04577,87.65799,0.00000,0.13177
hard_splits,occlusion_aware_permanence_v5,0.92882,0.52310,0.00174,0.01836,0.04352,88.12674,0.00000,0.11955
hard_splits,oracle_state,1.00000,0.00000,0.00000,0.00000,0.00031,90.00000,0.00000,0.00024
hard_splits,particle_belief_tracker,0.37326,0.05335,0.00000,0.67782,0.11575,19.28675,0.00000,0.04788
hard_splits,pomdp_style_belief_planner,0.58507,0.19686,0.00000,0.04042,0.07045,16.17439,15.41146,0.07470
hard_splits,random_forest_occlusion_regressor,0.90451,0.21934,0.00000,0.08361,0.05277,86.25347,0.00000,0.06761
hard_splits,risk_averse_particle_planner,0.37847,0.09640,0.00347,0.00467,0.03270,4.31356,27.57292,0.05867
hard_splits,visibility_gated_kalman,0.28299,0.01426,0.00000,0.61513,0.18915,5.54832,0.00000,0.07612
combined_and_extreme,ensemble_uncertainty_planner,0.08333,0.83361,0.05208,0.27232,0.31596,16.05503,32.29167,0.48930
combined_and_extreme,hist_gradient_occlusion_regressor,0.70833,0.22270,0.00000,0.32066,0.07391,87.18750,0.00000,0.06586
combined_and_extreme,identity_consistency_tracker,0.16667,0.17608,0.00000,0.55298,0.21736,13.30486,0.00000,0.10415
